time,PM1.0,PM2.5,PM10,temperature,gas,relative humility,pressure,altitude
1676678509,0,1,1,22.87140625,37459,16.68556180304897,1006.6941485119307,54.72547992282244
1676678511,0,1,1,22.8739453125,37797,16.66632799702633,1006.7000133298067,54.67639410710259
1676678512,0,1,1,22.87609375,37763,16.647077700276416,1006.6983565409855,54.69026064053043
1676678513,0,1,1,22.87921875,38072,16.627879258963063,1006.6965724418313,54.705192721482874
1676678514,0,1,1,22.8805859375,38176,16.61827140554125,1006.6970826596466,54.70092243324978
1676678515,0,1,1,22.8829296875,38245,16.60871303419168,1006.699186623405,54.68331324367952
1676678517,0,1,1,22.8852734375,38385,16.594318371890544,1006.7012905780014,54.66570416058356
1676678518,0,1,1,22.8878125,38350,16.57993511660249,1006.7019922137098,54.659831815444264
1676678519,0,0,0,22.8895703125,38421,16.575186466133093,1006.6962556389163,54.70784421691931
1676678520,0,0,0,22.89171875,38956,16.55595051938013,1006.6911565097735,54.750521687584545
1676678521,0,0,0,22.893671875,38956,16.546377411202357,1006.6977861071796,54.695034904109754
1676678523,0,0,0,22.8958203125,38884,16.53198028450577,1006.7012923143124,54.66568962851027
1676678524,0,0,0,22.8971875,39102,16.53204822753033,1006.7052446231999,54.63261079395722
1676678525,0,0,0,22.898359375,39175,16.532106465187898,1006.7054360175144,54.63100892262065
1676678526,0,0,0,22.9008984375,39433,16.527398336863428,1006.7044164412134,54.63954225130941
1676678527,0,0,0,22.901875,39359,16.508111619842968,1006.6991257803797,54.68382247083581
1676678529,0,0,0,22.902265625,39694,16.512964512845983,1006.6911577794422,54.75051106099285
1676678530,0,0,0,22.9028515625,39769,16.508160089919905,1006.6921140014787,54.74250788932788
1676678531,0,0,0,22.9028515625,39694,16.512993602590544,1006.6955561993924,54.71369820808758
1676678532,0,0,0,22.903046875,39959,16.522670948525562,1006.6924327422071,54.73984016639435
1676678533,0,0,0,22.901875,40227,16.54195045158542,1006.6922413944421,54.74144166488385
1676678535,0,0,0,22.901875,40189,16.546785395579857,1006.685357010107,54.79906116456934
1676678536,0,1,1,22.9008984375,40305,16.556407305572225,1006.6889265955568,54.76918514489048
1676678537,0,1,1,22.9012890625,40305,16.551591395319015,1006.6878429820131,54.778254552988535
1676678538,0,1,1,22.900703125,40460,16.5467271099374,1006.6782812990442,54.85828232371078
1676678539,0,1,1,22.8993359375,40421,16.536989495428905,1006.6794923164649,54.84814651913844
1676678541,0,1,1,22.8981640625,40460,16.541765931225463,1006.6810220595722,54.83534310291528
1676678542,0,1,1,22.896796875,40815,16.5416979518597,1006.6805119689463,54.83961238177852
1676678543,0,1,1,22.8966015625,41015,16.532019108971326,1006.6819143112457,54.82787527490716
1676678544,0,0,0,22.895625,40934,16.546474547139894,1006.6803206119375,54.84121397299132
1676678545,0,0,0,22.895625,41135,16.546474547139894,1006.6854838496223,54.79799956648131
1676678547,0,0,0,22.896796875,41338,16.546532829662414,1006.6805119689463,54.83961238177852
1676678548,0,0,0,22.8966015625,41297,16.565864679831495,1006.6784721479441,54.85668498257163
1676678549,0,0,0,22.8971875,41379,16.57556588687776,1006.6811494478234,54.834276908399616
1676678550,0,0,0,22.8977734375,41379,16.565923024050495,1006.6855478362409,54.7974640230658
1676678551,0,0,0,22.8966015625,41584,16.570700586560964,1006.6819143112457,54.82787527490716
1676678552,1,1,1,22.8962109375,41584,16.580353555717352,1006.6778346702849,54.86202045724984
1676678554,1,1,1,22.895234375,41917,16.57063250139748,1006.6779620544287,54.860954294380186
1676678555,1,1,1,22.895234375,41875,16.589978119987205,1006.6779620544287,54.860954294380186
1676678556,1,1,1,22.895625,41959,16.599671650399394,1006.6785995329093,54.85561881337277
1676678557,1,1,1,22.895625,42085,16.599671650399394,1006.6803206119375,54.84121397299132
1676678558,1,1,1,22.8946484375,42170,16.599622942177874,1006.6856112196709,54.796933528138446
